
Age,Gender,Income,Region,PreferredCategory,PurchaseFrequency,AnnualSpending,Tenure,LastPurchaseDays,LoyaltyScore,CLV
25,Female,97.83868666417577,Urban,Sports,4,528.8531953267973,5,10.729701999793038,65.61078466784792,1734.9236559744909
28,Male,47.90305257158892,Suburban,Fashion,2,68.05019585768686,4,23.53551040880138,44.42010038370368,120.91186124516585
25,Female,32.999643649981024,Urban,Health,4,120.88203355339331,8,7.263563249180948,56.474742842613125,546.1425407376015
24,Female,75.30750832343698,Urban,Fashion,4,162.36885137568467,4,3.955443795399863,61.68035327887569,400.5987245734996
23,Male,36.09380925848659,Urban,Beauty,4,100.6547405544657,10,10.97178973255486,67.71203275799154,681.5537089671121
17,Male,28.93278564534896,Rural,Home,3,105.70342915920608,6,25.755344721897135,51.359648379432485,325.73345724702455
21,Male,37.45363068424976,Suburban,Books,1,27.709550907017213,2,39.26396125336687,44.86287770716205,24.862603873237887
22,Male,61.486674572021116,Suburban,Sports,2,139.76238659582538,5,24.989228926280536,49.018072177866706,342.5441376952539
30,Female,56.629140288819606,Urban,Home,2,153.8088687666229,6,15.533679028269308,51.39271892491631,474.27935764094343
26,Male,53.8659733645906,Suburban,Electronics,3,148.23293793386603,5,9.947985393205633,54.198633912694085,401.7011368440354
16,Female,56.975303135118715,Urban,Sports,6,370.82964904118603,2,14.232609614079287,56.83671808547764,421.5348044058101
26,Male,28.059115907293858,Suburban,Home,2,63.88470951711247,7,24.952009018042457,49.22686253795729,220.1390669573359
23,Female,102.55624333563232,Rural,Health,4,273.55490728454504,4,26.721350249108017,50.83149050308908,556.2081468683107
21,Female,61.60573981049865,Suburban,Sports,7,350.189206839035,8,5.698179048884305,86.85544250733129,2433.26708170366
28,Female,60.03046020153415,Rural,Sports,1,43.169183131931746,7,42.714533374120016,48.06338221047848,145.23998640089232
30,Male,32.18469084873175,Suburban,Fashion,5,133.7573952306419,7,36.00769709291221,70.78679742080291,662.7780347808002
29,Male,71.90646274786342,Urban,Health,6,488.3311270459709,9,10.416618605296033,74.58444103052418,3277.9713733676663
20,Male,69.49554135441323,Rural,Electronics,8,454.30780106580744,1,2.4207425032867995,58.778637668836836,267.035936289731
23,Female,22.575510157750482,Urban,Books,1,21.482025263838,10,43.274680706937914,50.333362075104176,108.12625557112932
26,Female,17.230394325490224,Suburban,Beauty,1,12.230292617531418,6,99.32760353204006,47.88446037021465,35.13845772961872
29,Female,69.34319911239274,Urban,Home,4,347.9201594886558,6,2.8397463464477326,65.54826816983764,1368.3338349513058
22,Male,46.33121301584579,Urban,Fashion,2,76.83323759485445,6,55.15271727155377,45.85902384765639,211.4098365093048
24,Female,28.87617299053658,Urban,Home,2,76.5516200833541,6,17.83433563540584,52.25575173207899,240.01574722585102
19,Female,82.44830460910961,Urban,Electronics,1,80.356012542165,10,61.126575969696226,51.86636586604069,416.77743460480843
19,Male,20.9900978120999,Urban,Electronics,1,13.062559796489111,7,41.32789074438631,46.96596105913498,42.94469723141708
29,Male,65.41462728204787,Suburban,Sports,2,120.22601195887114,10,7.845699678849859,61.52857281576162,739.733493116003
31,Female,111.3873274045397,Urban,Beauty,5,392.60332701507264,6,21.24143677263691,52.28075179387021,1231.5358255873603
24,Female,54.2348959927328,Urban,Electronics,5,298.6834633877006,1,6.825534364062641,47.93210595857531,143.16527415173516
30,Female,34.0895770785509,Suburban,Home,2,61.17530956829154,3,6.569459253873329,34.705386521803156,63.693382924755625
26,Male,27.268777758737585,Urban,Health,2,54.492314499474304,2,30.658462187519852,40.11268501758026,43.71666094792669
21,Female,31.959020027012734,Suburban,Health,4,111.39064000035208,6,7.441462253721045,58.65077456701013,391.9888389321379
26,Male,77.81632646838807,Suburban,Sports,2,128.66429177012017,8,4.704468745295736,59.78608398622681,615.3867323037435
32,Male,61.83359919779156,Suburban,Books,3,134.73492744848056,3,20.321533892137573,41.33534189960926,167.0794287570598
24,Male,99.77035226240507,Suburban,Home,5,579.0139992314487,10,2.7201582482126705,68.21032462307468,3949.473284888183
32,Female,32.89645749800544,Urban,Home,1,30.213529521124848,8,68.06272544938986,41.40964403926312,100.09052021116383
11,Female,30.597901842070765,Suburban,Electronics,1,27.06305431015353,8,112.59818805636185,45.5993969266546,98.72471644290411
29,Female,25.13465529559222,Urban,Beauty,2,45.86715992171024,5,32.253142089151545,48.35367805193883,110.89229420055845
25,Male,71.96571501664491,Urban,Home,3,172.08582170464365,8,9.213952109737777,72.6219879296783,999.7771573362722
23,Female,29.20735213486515,Suburban,Fashion,3,77.56967360154279,6,3.6907308832653136,56.609524019259,263.470938054757
25,Male,99.59043190735102,Urban,Books,4,402.08687010024676,5,25.49922655686854,63.63801218779948,1279.4004569996828
15,Female,50.667320409268044,Suburban,Electronics,2,72.13071886021639,9,36.744551967083034,67.05675534283398,435.3166770581044
23,Male,93.35076623212734,Suburban,Fashion,2,139.38305996375794,7,18.987055350697375,50.39720883951846,491.7162027179244
26,Male,25.575986429865495,Rural,Sports,2,66.02636207733838,8,22.243204593110953,61.41546879384202,324.40319837853514
32,Male,97.40580910114866,Rural,Health,6,510.17564566155824,1,11.4216349954299,47.67379320910409,243.2200823159029
22,Male,77.11708480142343,Urban,Sports,4,255.2962344295288,2,6.765461568893541,44.88423843008598,229.1755411287619
20,Female,46.28098857068643,Urban,Health,6,177.0166769261571,8,17.64417741962078,73.6237050369851,1042.609888691094
22,Female,75.79657903184888,Suburban,Sports,2,176.47909003528233,9,24.654286836646097,58.48289877725324,928.890788295166
29,Male,74.71170327493608,Urban,Home,4,211.15852515876165,4,4.707852399292794,54.384625093708514,459.3510890439868
26,Female,57.90676322848134,Suburban,Fashion,4,221.51184423983693,10,14.708271119130778,66.62334409832374,1475.785982064495
22,Male,26.654636306700418,Suburban,Health,1,14.660998430311707,10,168.12675399723963,62.28995833735934,91.3232981408207
27,Female,35.199523436980385,Suburban,Electronics,3,122.11011821508346,9,10.01048400535612,66.60705374849069,732.0055686467954
25,Female,90.91576690394703,Urban,Fashion,4,451.831541318467,4,10.378543926745317,53.9925954400002,975.822304697589
29,Female,78.26009713546937,Urban,Electronics,8,673.8412758587484,10,6.566141695018455,96.55361509859279,6506.181118681027
21,Male,66.7792587133927,Urban,Fashion,2,79.02988280058992,10,71.51139287574752,69.02585213218043,545.5105004217069
23,Female,55.120885918542974,Urban,Fashion,2,128.02409093826486,10,59.6716794749413,67.33753533989122,862.0826747912857
23,Female,40.786541066327516,Rural,Sports,6,186.33810285402313,9,17.730460315868967,77.09743353938292,1292.9570550578474
17,Male,26.97142538498331,Urban,Health,1,18.31270101241909,7,88.09377391575963,52.10327513351607,66.79061895015231
26,Male,67.42095372009307,Urban,Health,4,234.07728524245158,2,9.037738422492671,48.59681459321654,227.50820862821763
26,Female,62.99292580406492,Urban,Beauty,1,54.37497439137263,9,15.589027963769322,53.71065131208247,262.8463760674586
25,Female,36.50870644699399,Suburban,Fashion,8,244.9846134539223,4,6.606404246593677,68.1777082540132,668.0995801113484
23,Female,75.61511196726853,Suburban,Home,2,191.40934499242277,8,9.524253240663592,43.96032517450733,673.1533637845089
17,Female,30.160020745328833,Urban,Home,3,130.5480936744121,7,15.874562484858908,62.82216037895744,574.0919294586753
22,Female,52.46582129653817,Urban,Electronics,5,165.63649474441752,7,14.304974632263873,71.829458306639,832.8305785311376
23,Male,32.29986071469558,Urban,Electronics,1,25.668060591918668,8,98.437480610816,45.73885016366027,93.92220619244166
20,Male,53.22284630247894,Urban,Sports,1,52.917325910201065,1,107.88146088237305,34.4702876930469,18.240754480713555
24,Male,40.066936237633115,Suburban,Fashion,2,69.45267172494435,5,49.31341126683706,43.73125549730127,151.86262660868667
27,Female,61.36535331082737,Suburban,Electronics,1,64.79295806512516,2,18.398443737297605,30.511798532409074,39.53899365603857
34,Male,28.173392243439455,Urban,Electronics,3,99.71998826116693,2,9.228022305526347,45.6871359701501,91.11841325259411
25,Female,30.923401529324543,Urban,Books,1,35.24797201020367,1,57.99405027147593,24.991272493374375,8.808916733458329
26,Female,23.264368552351517,Rural,Fashion,2,51.4764195122903,5,49.23881213389117,41.12814994542279,105.85649501774814
24,Female,50.28385961489349,Urban,Sports,3,204.88403859926387,2,3.1688911483143194,51.157505161553324,209.62712524323467
15,Male,72.00413907944426,Suburban,Electronics,2,83.3307720810146,4,29.223629423980984,45.66110539620697,152.19900666954035
24,Female,26.71552860514302,Urban,Sports,4,140.5478430631289,3,7.869649005849693,55.81050574393312,235.32138607716504
25,Male,49.5308901731806,Urban,Health,4,170.56100872529368,3,19.869485239217674,41.28426346863311,211.24456865072563
37,Female,108.04979128790929,Urban,Sports,5,620.4381376566148,2,9.969193836865388,39.52920587426795,490.5085375135145
24,Male,71.85704154662997,Suburban,Home,5,256.12727669025855,6,6.748369405558857,58.45749964433012,898.353611161442
26,Male,33.594766553325336,Rural,Home,4,99.70400833258398,2,11.840921298003824,43.57047389511433,86.88301784586224
24,Female,69.96047685805816,Urban,Sports,2,156.55869546253496,8,39.97579251545327,48.67245590562332,609.6076961233714
19,Male,26.216024557152696,Urban,Home,2,26.064223002279913,8,40.89082141994013,59.03537127103888,123.09688654645971
30,Male,22.89094666629078,Urban,Health,3,82.23339780622425,5,16.371211284147176,51.50630417661724,211.77692004420777
28,Female,122.5200047793323,Urban,Fashion,5,773.3409041352056,10,5.852196981452661,69.33150783302953,5361.689095265216
28,Female,28.38660080578932,Urban,Home,1,28.462346615547737,7,80.4269186245794,42.95145094749043,85.57493591557181
20,Female,57.49166983544953,Urban,Home,4,228.59208767501946,4,6.459828892014659,50.34387060851997,460.3284193617053
32,Female,73.28194141849058,Suburban,Sports,2,111.37789945845351,1,3.4111816907702495,26.464459894423683,29.47555953343396
17,Female,65.5623000940066,Urban,Health,2,147.1044741574268,2,47.70858737743384,25.311100388999304,74.46752226139166
27,Male,64.55887772081607,Urban,Beauty,7,471.5430535432826,10,1.3229397399026337,82.5859095803868,3894.281198318503
35,Male,40.825011724505416,Rural,Beauty,3,90.48929637683094,10,13.179317378061052,60.681144869828444,549.099410261132
20,Male,26.782408848099287,Urban,Beauty,2,46.38953247038481,4,7.117002131846012,43.24815966475602,80.25047628210342
22,Female,69.27840128081237,Rural,Beauty,3,191.57407317570596,1,24.7229512810048,34.67431572828947,66.4269989864886
25,Female,30.285065624485423,Urban,Fashion,1,26.218613327739863,8,53.683874920766854,54.99693194019578,115.35546342016154
22,Male,31.342961394316283,Rural,Sports,3,59.510999350629945,9,4.458596042842734,75.86029128041874,406.3069570614838
17,Male,37.64234213206266,Suburban,Sports,5,212.25855616947075,4,6.432101147073906,54.95179794211644,466.5595716044052
25,Female,32.53917878144812,Suburban,Books,3,88.00782110355513,10,33.73633845746026,72.83181402819507,640.9769259640789
19,Male,32.69148039524816,Rural,Health,1,31.504372524212684,3,20.820169166168874,39.57769350518092,37.40611199508997
27,Female,35.362536686549014,Urban,Beauty,1,29.04028160033977,2,51.29352041226761,32.52154390335661,18.88869586062578
20,Female,56.350472704571146,Rural,Fashion,3,181.5722373885152,5,27.846338622080875,50.612719650519175,459.4932373631218
32,Female,51.607903326609936,Urban,Health,4,208.01847051010702,3,17.951378082160847,46.76169342660781,291.8188783519645
21,Male,84.3278620896845,Urban,Beauty,3,316.49973341029215,10,9.791297098198283,72.78128678182647,2303.52578637061
23,Female,20.16821705311999,Urban,Fashion,3,65.06329490674811,7,11.06598357110601,51.74292852855077,235.6595792734322
29,Female,40.28103564970161,Suburban,Health,3,110.13105958759247,6,9.021120605999696,51.25829967757607,338.70785136898814
18,Female,24.483958171391585,Urban,Sports,1,19.157912896118102,1,27.795626908653766,38.28944548355696,7.335458614146469
26,Female,57.78746376414228,Suburban,Sports,2,134.97171091193474,8,34.11568875665614,60.007462356528876,647.9447889395377
31,Female,57.23186700111079,Suburban,Electronics,2,102.12245294448186,2,0.5708413194714835,29.975959194137673,61.22436964538066
16,Female,31.537033489045506,Suburban,Home,3,86.92752334160132,5,6.443472885651459,52.6203739444281,228.70793921490318
25,Male,112.23605818808946,Suburban,Beauty,2,206.22855242006108,9,16.13982043975981,62.02892812805902,1151.2922450415858
26,Female,34.30236744179873,Urban,Books,1,29.624009882105874,8,19.074472763859767,53.96158504104993,127.88468228081277
28,Female,54.16922561431062,Urban,Health,1,49.99335475502305,2,83.48316149751443,36.920117050660885,36.915210186213294
18,Male,58.32878286213589,Urban,Books,3,248.88130136825478,9,7.518784132185266,66.85476277416981,1497.5010325711207
18,Female,104.2386992573245,Urban,Electronics,1,73.85548537293349,5,26.601551992782138,46.804210184423354,172.83738303336918
27,Female,57.51308873816453,Urban,Home,3,131.9095454410922,10,9.951249030607189,66.94731544296911,883.0989948583468
26,Female,124.1101836402999,Urban,Health,6,962.2792689351478,6,0.11793756510663861,74.76533205430611,4316.707744254675
26,Male,32.45487475819126,Urban,Fashion,2,56.47452944407513,3,11.474230593785094,37.9798329917328,64.3467958971801
26,Male,111.02316679074727,Rural,Beauty,4,378.30073457441404,3,14.133907975559435,49.21873359250386,558.584492185998
21,Female,33.31440634333706,Suburban,Home,1,40.256040097903536,10,33.64864597773558,53.0696002828559,213.63719569663598
26,Female,117.60210786227987,Urban,Sports,5,364.06851993601657,8,40.356615655459485,62.36211338820016,1816.326585705926
26,Male,61.81021558703707,Suburban,Electronics,3,214.57089915496397,10,4.689768674136108,67.15811683862523,1441.0177515617945
21,Female,80.5475207806623,Urban,Home,5,391.03724809363905,10,3.7095083330364487,72.30129089251295,2827.2497824225948
34,Female,63.996879517526416,Urban,Beauty,2,137.15203393749567,2,18.187089863169874,34.40046087440211,94.3618635462298
27,Female,53.48643106208171,Suburban,Home,4,228.29023506045513,2,1.7849597232406504,53.76652433039882,245.48744955540855
19,Female,54.713833182502434,Urban,Beauty,1,44.27903958040375,5,43.78723799600448,51.544132956308545,114.11623516549895
28,Male,65.86364018755093,Urban,Sports,2,159.69088848815366,6,28.85012651540609,59.609112782330385,571.1419309320538
20,Male,36.19141535716818,Rural,Health,3,89.89588728642813,2,14.769827843100407,51.521595875328934,92.6315915125094
28,Male,30.106357883680307,Rural,Fashion,2,63.712505482122694,5,13.110076334330452,57.50397984781634,183.1861315648936
30,Female,31.544165062994818,Suburban,Sports,3,118.9581449227349,7,17.961387516693073,57.51598167239614,478.93961382107847
20,Male,38.51107472317619,Suburban,Fashion,2,99.43069693987528,10,22.194080793778674,58.37378597566597,580.4146222579584
29,Male,103.61129769232852,Suburban,Health,4,371.297169076514,10,8.204494430353154,64.07581493035038,2379.1168689909723
27,Male,43.008415570901974,Urban,Home,5,230.34285194845071,8,8.668299869265855,75.10387525942981,1383.97126557102
29,Female,108.48264468447316,Urban,Fashion,8,758.26998536099,7,9.984453932949231,78.11368806960765,4146.188557632402
34,Female,21.19618620422091,Urban,Electronics,1,33.08536220819961,8,28.379035964094466,48.87510202367452,129.36403627327851
23,Male,33.76670810552266,Urban,Electronics,2,77.47637738302038,9,21.314509424690687,56.243533449119816,392.1790700572683
21,Male,63.81158384882778,Suburban,Beauty,5,312.73228478630534,5,4.93462143915213,58.77635252397581,919.063150811414
20,Female,72.89752754082745,Urban,Sports,5,377.2501437733998,5,14.744589750463225,63.14101867110685,1190.9979185836992
20,Male,66.73181351269959,Rural,Health,6,423.49555686867177,10,10.240270793419958,75.39054921604648,3192.756262288461
24,Male,58.615440160162265,Rural,Beauty,2,124.8296042499747,4,58.29195389262177,44.97458121792937,224.56636698969874
26,Male,47.757017637106344,Suburban,Sports,2,86.19190628899423,9,46.112817250701546,65.64428986456454,509.2205832372709
26,Male,28.954883713569874,Suburban,Sports,3,75.16932030708404,5,14.58971849989917,39.865154125039226,149.8318269758173
45,Male,87.2421931868605,Rural,Beauty,3,241.71894174789009,2,2.0903930777213344,28.12677394294776,135.97548064542923
40,Female,91.29214825292917,Urban,Books,3,188.00905601657763,10,16.66952659462314,64.71138314084862,1216.6326057838025
50,Male,65.88578404420609,Suburban,Sports,2,149.21626014682744,8,72.55482421532963,54.7087282571932,653.0745462341944
38,Female,38.34952252175703,Urban,Books,1,29.43674027955724,7,97.42460926093698,41.59498079374603,85.70944525910717
59,Male,63.94671529822981,Suburban,Electronics,1,45.12156846281937,8,65.39659643986276,30.753241369221747,111.01075887159583
44,Female,24.020584689824076,Urban,Electronics,5,114.8850432954179,3,4.179260257984339,55.181843091925984,190.18705298210622
33,Female,32.2230133411007,Rural,Sports,2,59.85557286332471,4,44.94362345726428,36.93356312931627,88.42718315955972
32,Male,35.98315743322826,Rural,Electronics,4,146.79865572095002,5,9.801256467071893,51.37154606313972,377.06369521878867
43,Female,53.90217095680618,Urban,Health,4,177.58193363274648,6,13.30223428495763,54.47300213937666,580.4052630414745
38,Male,97.98974249990623,Urban,Books,5,424.1925909579809,1,1.1037221643997976,40.490055362668436,171.75581492322414
44,Female,60.14688194729197,Rural,Books,2,135.46385181846887,4,14.335130160128207,33.308240253102916,180.48250087921173
43,Male,52.151016869177596,Urban,Sports,4,231.86177889393628,10,19.439005182836457,60.588776814957335,1404.8221573323692
39,Male,66.4828043384386,Rural,Electronics,3,219.6896368689558,5,7.775356099244264,55.922976137971744,614.2849160191147
34,Male,29.395259256961094,Suburban,Fashion,5,142.29542855910736,7,11.240354976540159,68.82029016434863,685.4968877748677
29,Female,32.09766221953514,Urban,Beauty,2,64.23008168788688,5,36.458254865339306,48.06147559197479,154.3496251656461
36,Female,86.6876173329685,Urban,Beauty,5,440.0720009380284,1,15.766932126654956,33.490056093549384,147.38035996615088
45,Female,27.812708498382946,Urban,Books,2,44.64217743429732,7,12.968936646586899,49.27984836416682,153.9971814225881
41,Male,110.83572036741657,Suburban,Sports,2,291.2255511609603,8,18.60814805312589,53.209889930936235,1239.6863617880751
31,Female,56.27166847908233,Urban,Sports,2,144.00833003097154,7,38.37055607470158,44.19822318796306,445.5438618144306
41,Male,77.26963851233405,Suburban,Health,6,533.4474582086343,4,5.552596317058527,57.66021733403582,1230.3478550639538
42,Female,56.003638143853976,Urban,Home,3,144.11862316167353,8,6.352232671220826,59.99079581462677,691.6632716141678
33,Male,62.24684725751886,Suburban,Home,2,135.62275708315593,5,80.12389244431444,46.83571848185776,317.59946352400357
41,Male,113.98886247809635,Rural,Books,3,408.5846828650999,10,43.80544676478698,57.6324863248322,2354.7751147758772
40,Male,78.72451400600453,Rural,Beauty,1,52.46459385656895,9,28.725938542739826,49.51076765986431,233.78060851215568
31,Male,42.39191188019224,Urban,Health,4,231.74519117053532,10,13.092566998331714,72.12956243378378,1671.5679235264286
42,Female,22.371718427149524,Suburban,Health,1,12.137708120675615,5,60.71294373499131,37.14170461553269,22.540758486384302
43,Male,72.62584103427182,Suburban,Health,4,328.0089162154573,1,18.33490716848232,44.14920222331226,144.81331973045712
47,Female,91.72212781161329,Suburban,Books,5,600.2239880242779,9,7.217319392167323,67.10063000642276,3624.7866967256937
47,Male,42.79099642834126,Rural,Home,2,79.83642596544406,5,13.6828738579572,43.553502215328045,173.85779775749205
30,Female,54.357524013426115,Urban,Beauty,3,150.66088115555232,6,29.167034102087115,56.440336568292125,510.20105040569
33,Male,61.84551303197037,Urban,Health,3,207.845190993933,4,43.68061336366725,40.09991981680402,333.38301972660116
43,Male,75.42109952567876,Rural,Beauty,6,635.551727881049,6,13.618957038056962,62.01659684345006,2364.885316869426
43,Female,40.03046444079561,Urban,Electronics,1,35.72894152250693,8,32.485532616418716,43.882672076849616,125.4305139588086
43,Male,80.61503576636397,Suburban,Sports,3,186.8424568857037,3,19.13572262110417,44.65256330736872,250.28983903779587
66,Male,118.12549345889714,Rural,Sports,4,405.5455574650805,5,18.98621662222922,45.293943011297905,918.4378684154198
43,Female,35.12031262905731,Urban,Beauty,1,20.629553699076318,2,14.317921368403987,26.603382133916494,10.976318006173557
47,Female,32.96263474600592,Rural,Fashion,1,38.746321125531146,2,43.656849973505715,19.935187427231128,15.448303475062966
46,Male,111.67541614249957,Urban,Fashion,4,373.7195766973166,7,27.561398474949357,46.99323611717507,1229.3604616543405
44,Male,27.244071418357333,Suburban,Books,1,24.79206693139853,10,46.04840520000628,52.796157544169205,130.89258715557045
37,Female,87.72701674866539,Suburban,Books,3,310.10861896242966,10,13.143238235542478,58.64726994716602,1818.7023889232462
45,Male,59.96625542589048,Rural,Sports,3,156.42944706048888,10,7.262876175112548,63.16396567381949,988.0704224503282
34,Male,29.149076887375358,Urban,Electronics,3,99.8806261313851,6,40.37508076704637,42.9176320079522,257.1983974218384
38,Male,93.20157926009087,Urban,Home,3,198.7594769325173,4,4.176719007517337,51.89808932437779,412.6094835164156
36,Female,66.96387447456715,Suburban,Home,1,79.69321568469255,5,70.41586121245825,41.963764894102816,167.21136833237324
40,Female,69.5530520857051,Suburban,Books,6,434.869554377177,1,8.203770923860208,48.1625921165553,209.44444971376143
56,Male,30.442034431459238,Suburban,Electronics,1,28.577186836732636,7,50.84484393558058,47.059739126458105,94.13844702532833
26,Male,74.77530081055262,Urban,Books,2,148.26662552512812,8,10.786874117483048,59.83097855999457,709.6749834365348
44,Male,24.291554429332475,Urban,Home,3,47.45432569731454,9,19.094879486590877,54.75831714024811,233.86671145891574
28,Female,29.03170270360141,Urban,Beauty,3,85.86882453919813,8,3.8033351114311387,59.32121488222497,407.5074393739076
36,Male,89.24766519095793,Suburban,Books,3,247.92981349870848,5,22.348601338683963,37.711961834259604,467.4959832119198
47,Male,20.6673169146347,Urban,Health,1,13.593641943840002,3,100.61357555829687,34.665395997188696,14.136869430816228
40,Female,59.17319314157301,Urban,Beauty,1,47.27594321217302,10,42.51411522139745,50.96468605448583,240.94036037380982
32,Male,29.39126245808358,Rural,Books,2,54.60785689650679,9,39.741292326962814,46.40276466269398,228.05599790724077
34,Female,75.13449743242131,Urban,Sports,5,305.89127594279057,6,4.439733728200883,54.11302937517727,993.1622160421609
44,Male,33.154058422773886,Rural,Books,2,25.269536813121007,5,31.111583049443425,45.04344913113594,56.91135480045915
34,Male,84.63719763506192,Suburban,Sports,3,309.3488751326698,3,15.95229294085897,50.2023469085141,465.90118635506707
41,Male,78.54092566334188,Suburban,Electronics,1,72.72091976074478,6,87.19371404608155,40.24657203903488,175.60606415374139
40,Female,36.10516847762676,Urban,Home,2,29.913272878217747,3,30.448430929754153,30.978632178924418,27.800168332863098
35,Female,32.910488517343076,Urban,Beauty,2,96.91422114270915,10,26.257009391351023,51.28514044049338,497.0259441984872
55,Female,28.86757950575084,Suburban,Beauty,3,108.94054308841169,6,5.866704612713892,51.90640642403887,339.282726336157
44,Male,50.405607632765204,Suburban,Fashion,3,132.50288029970352,4,37.67514349982938,44.38067222556947,235.22267598100032
25,Female,28.138966119644735,Suburban,Fashion,4,85.29490186860062,2,26.498653090740046,44.62707967455405,76.12924763046618
41,Male,116.33122929556279,Urban,Home,4,491.73950051634154,8,7.895454525998808,56.63641884740007,2228.0291452043857
35,Male,78.84586305934609,Suburban,Fashion,3,238.5619808954206,4,25.844616442519413,48.19248152200147,459.875754246185
45,Female,37.71621764136094,Suburban,Beauty,1,41.114508516096876,9,61.374101857773866,51.166036914801246,189.32998144216708
34,Male,55.11150578213726,Suburban,Books,1,41.801588540220905,7,14.872765533024394,40.76152237716471,119.27274706782724
